id,state_code,source,name,ward_code,category,subtype,management,education,poi_type,no_of_teac,no_of_stud,global_id,layer,path,geometry,longitude,latitude,state_name
u_fc_poi_school.85178,AD,eHA Polio,Dangir Junior Secondary School Arah,ADSGUY02,Secondary,Aggregate,Public,Formal,School,,,ca841e51-214d-42f9-86a7-5ac05a075001,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (11.8385898 9.97208),11.8385898,9.97208,Adamawa
u_fc_poi_school.85220,AD,NMIS,Mbishim Junior Secondary School,ADSGMB04,Secondary,Junior,Public,Formal,School,,,ca9f7846-a76d-462d-b29a-953bac4c01b5,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (12.340894 10.213222),12.340894,10.213222,Adamawa
u_fc_poi_school.85229,AD,NMIS,Mayo Duken Primary School,ADSTNG02,Primary,Primary,Public,Formal,School,,,caa2ec16-6a95-41c8-9102-d063acfe67f3,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (11.803669 8.034348),11.803669,8.034348,Adamawa
u_fc_poi_school.85327,AD,NMIS,Shagari Primary School,ADSYLA03,Primary,Primary,Public,Formal,School,,,cae4a519-ba51-4278-97e1-9885a84de9c1,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (12.477925 9.185931),12.477925,9.185931,Adamawa
u_fc_poi_school.85334,AD,NMIS,Rugange Primary School,ADSYLA06,Primary,Primary,Public,Formal,School,,,cae8b713-29b3-47e8-8088-9cbfd8e9dca5,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (12.513398 9.227901),12.513398,9.227901,Adamawa
u_fc_poi_school.85403,AD,NMIS,Kelele Primary Song Gari,ADSSNG07,Primary,Standard,Public,Formal,School,,,cb0ce0f6-173c-44e1-8ef3-b2a37d4a9306,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (12.630386 9.820175),12.630386,9.820175,Adamawa
u_fc_poi_school.85463,AD,NMIS,Hildi A Primary School,ADSHNG05,Primary,Primary,Public,Formal,School,,,cb2e0b87-5559-4ce8-ab4d-0c13e8b748cc,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (13.177928 10.39723),13.177928,10.39723,Adamawa
u_fc_poi_school.85477,AD,NMIS,Alkali Manga,ADSMWA03,Primary,Primary,Public,Formal,School,,,cb39d53c-ca23-4e8b-a902-6d6774429ab3,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (11.925845 8.72034),11.925845,8.72034,Adamawa
u_fc_poi_school.85484,AD,NMIS,Government Day Secondary School Junior Section Betso Central,ADSMUB02,Secondary,Junior,Public,Formal,School,,,cb3c4990-102c-4130-adfb-423f9dc44e50,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (13.325575 10.498525),13.325575,10.498525,Adamawa
u_fc_poi_school.85518,AD,NMIS,Gongoshi Model Nomadic,ADSMWA09,Primary,Primary,Public,Formal,School,,,cb4a62fa-903f-4782-b05e-19a73c09fe0b,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (12.104451 9.168308),12.104451,9.168308,Adamawa
u_fc_poi_school.85564,AD,NMIS,Buganya Primary School,ADSMWA06,Primary,Primary,Public,Formal,School,,,cb6e5f19-c3a6-4395-b31f-5db6cc3c4551,public-schools,/vsizip/C:\Users\JOSEPH\Downloads\rivers-public-schools+207more (1)\adamawa-public-schools.zip/public-schools.geojson,POINT (11.835557 9.024096),11.835557,9.024096,Adamawa
