latitude,longitude,idp_population
11.8443,13.0337,1022
11.81613,13.06732,212
11.89967,13.09151,224
11.78875,13.20665,2560
11.776262,13.216988,2183
11.754859,13.262016,4897
11.76352,13.24239,3384
11.77588,13.21718,1903
11.77033,13.22645,2166
11.78066,13.21456,965
11.748,13.26339,702
11.74833,13.26013,844
11.78495,13.21019,474
12.02669,13.06187,987
11.84362,12.7743,1373
11.902015,13.07054,1264
11.84394,12.77565,1551
11.66011,13.39857,3030
11.65882,13.40014,4020
11.65578,13.41908,1985
11.73597,13.28389,230
11.66881,13.39255,7194
11.66453,13.39605,13383
11.73458,13.28333,5037
11.66881,13.39255,6399
10.56637,11.95726,374
10.56637,11.95726,33
10.40158,12.01544,241
10.54474,11.91426,344
10.42042,11.92782,232
10.47027,11.77302,745
10.49534,11.84501,197
10.50714,11.83768,297
10.50466,11.83705,179
10.49794,11.83409,130
10.49291,11.83643,361
10.34373,11.92448,292
10.33964,11.92654,269
10.36408,11.96833,267
10.36089,11.97128,148
10.47104,11.91384,210
10.38202,11.85971,296
11.9257366,13.5950127,4730
11.92165,13.60094,803
11.92651,13.60131,864
11.922995,13.596982,507
11.92465,13.6019,615
11.92237,13.60418,719
11.92033,13.59153,33801
12.26026,13.10827,2025
12.11471,12.282943,4195
12.111471,12.82943,4260
12.25596,13.09907,3580
12.2542,13.09838,1868
12.25079,13.10118,1305
12.26342,13.10484,2231
12.2597,13.11167,4263
12.26105,13.11107,3592
12.11736,12.82823,1913
12.11548,12.82431,4034
12.11256,12.83307,1170
12.11504,12.82843,1095
12.11584,12.82752,856
12.12092,12.82501,890
12.11887,12.83561,830
11.86448,13.11843,2587
11.88966,13.10277,2895
11.89986,13.08797,1736
11.86807,13.10605,778
11.88638,13.10826,2588
11.86502,13.10721,2042
11.85532,13.132,1476
11.852356,13.109825,4941
11.86052,13.12747,1702
11.84851,13.11132,1944
11.88463,13.09222,1048
11.85081,13.11643,416
11.8772,13.10735,2196
11.847629,13.109004,287
11.86622,13.11681,275
11.855489,13.140317,154
11.84704,13.109935,745
11.87609,13.11325,3061
11.89481,13.08895,169
11.88656,13.11039,231
11.85974,13.11743,168
11.85881,13.11918,233
11.85843,13.12143,335
11.83752,13.09972,71
11.87339,13.11308,196
11.87709,13.0972,763
11.8587,13.11917,291
11.879385,13.120029,11022
11.873646,13.12383,3684
11.870965,13.132457,3754
11.873494,13.127689,9255
11.86934,13.138925,5299
11.872919,13.13397,2342
11.871301,13.128544,2142
11.886328,13.130132,1634
11.878697,13.134726,3579
11.870228,13.135101,2966
