latitude,longitude,event_dates
12.36532,13.8293,2016-11-01 00:00:00.000
12.57852,13.61727,2016-11-03 00:00:00.000
13.6734,13.3388,2016-11-04 00:00:00.000
13.43162,13.31319,2016-11-04 00:00:00.000
12.96309,13.60899,2016-11-06 00:00:00.000
12.96309,13.60899,2016-11-19 00:00:00.000
12.96309,13.60899,2016-11-23 00:00:00.000
13.378014,13.504103,2016-11-28 00:00:00.000
12.96309,13.60899,2016-12-04 00:00:00.000
12.94284,13.17831,2016-12-12 00:00:00.000
12.96309,13.60899,2016-12-15 00:00:00.000
12.28295,14.47243,2016-12-30 00:00:00.000
11.5,13.0,2017-01-07 00:00:00.000
12.483371,14.183386,2017-01-07 00:00:00.000
11.26889,11.99694,2017-01-07 00:00:00.000
12.57852,13.61727,2017-01-08 00:00:00.000
13.357646,13.426181,2017-01-08 00:00:00.000
13.378014,13.504103,2017-01-08 00:00:00.000
13.43162,13.31319,2017-01-08 00:00:00.000
12.36532,13.8293,2017-01-10 00:00:00.000
11.09826,12.76417,2017-01-12 00:00:00.000
13.2842,13.486,2017-01-12 00:00:00.000
12.28295,14.47243,2017-01-17 00:00:00.000
11.0319,12.0597,2017-01-25 00:00:00.000
11.23038,12.470897,2017-02-01 00:00:00.000
11.23569,12.38397,2017-02-01 00:00:00.000
11.1694,12.28329,2017-02-02 00:00:00.000
11.7593,12.2561,2017-02-14 00:00:00.000
11.09826,12.76417,2017-02-19 00:00:00.000
11.196602,12.613302,2017-02-19 00:00:00.000
13.3992,12.85283,2017-02-22 00:00:00.000
13.5145,13.0801,2017-02-22 00:00:00.000
12.49303,13.20914,2017-02-22 00:00:00.000
12.49303,13.20914,2017-02-24 00:00:00.000
11.38333,11.96667,2017-02-28 00:00:00.000
12.57852,13.61727,2017-03-03 00:00:00.000
12.36532,13.8293,2017-03-07 00:00:00.000
12.528833,13.964812,2017-04-01 00:00:00.000
12.36532,13.8293,2017-04-01 00:00:00.000
11.389726,13.823372,2017-04-06 00:00:00.000
13.48895,13.32904,2017-04-10 00:00:00.000
10.810416,12.45449,2017-04-16 00:00:00.000
11.24389,12.33667,2017-04-27 00:00:00.000
13.09165,12.6966,2017-05-12 00:00:00.000
12.2182,14.30769,2017-05-19 00:00:00.000
12.13333,14.3,2017-05-19 00:00:00.000
12.21532,14.18319,2017-05-19 00:00:00.000
12.989201,13.832239,2017-05-20 00:00:00.000
13.35765,13.42618,2017-06-24 00:00:00.000
13.43162,13.31319,2017-06-24 00:00:00.000
13.51854,13.37617,2017-06-24 00:00:00.000
13.48895,13.32904,2017-06-24 00:00:00.000
13.4814,13.483791,2017-06-24 00:00:00.000
12.26189,14.07576,2017-06-29 00:00:00.000
13.21875,13.506568,2017-06-29 00:00:00.000
13.09165,12.6966,2017-07-01 00:00:00.000
12.19763,14.0223,2017-07-03 00:00:00.000
11.646278,14.103572,2017-07-03 00:00:00.000
11.0319,12.0597,2017-07-04 00:00:00.000
11.1694,12.28329,2017-07-04 00:00:00.000
12.96309,13.60899,2017-07-10 00:00:00.000
12.989201,13.832239,2017-07-11 00:00:00.000
12.337716,14.180516,2017-07-21 00:00:00.000
12.19928,12.48579,2017-07-25 00:00:00.000
12.17309,12.63114,2017-07-25 00:00:00.000
11.259902,12.351687,2017-08-05 00:00:00.000
12.36532,13.8293,2017-08-16 00:00:00.000
12.96309,13.60899,2017-09-07 00:00:00.000
12.91849,13.21395,2017-09-28 00:00:00.000
12.777807,12.407101,2017-10-02 00:00:00.000
11.38333,11.96667,2017-10-07 00:00:00.000
12.687898,13.511536,2017-10-08 00:00:00.000
12.91849,13.21395,2017-10-08 00:00:00.000
12.36532,13.8293,2017-10-13 00:00:00.000
11.15604,12.75758,2017-10-18 00:00:00.000
12.36532,13.8293,2017-10-19 00:00:00.000
12.94284,13.17831,2017-10-21 00:00:00.000
12.050935,12.099075,2017-10-24 00:00:00.000
12.627944,12.566681,2017-10-30 00:00:00.000
12.1131,12.8274,2017-11-25 00:00:00.000
12.1101,13.98946,2017-12-01 00:00:00.000
12.17309,12.63114,2017-12-06 00:00:00.000
12.57852,13.61727,2017-12-12 00:00:00.000
11.83022,12.63067,2017-12-13 00:00:00.000
13.43162,13.31319,2017-12-21 00:00:00.000
12.1131,12.8274,2017-12-22 00:00:00.000
13.09969,12.1079,2017-12-30 00:00:00.000
13.151034,13.964249,2018-01-03 00:00:00.000
13.357646,13.426181,2018-01-08 00:00:00.000
13.375603,13.507019,2018-01-08 00:00:00.000
13.43162,13.31319,2018-01-08 00:00:00.000
11.5,13.0,2018-01-28 00:00:00.000
10.91729,12.514962,2018-02-26 00:00:00.000
12.28295,14.47243,2018-03-02 00:00:00.000
13.48895,13.32904,2018-04-08 00:00:00.000
13.4814,13.483791,2018-04-08 00:00:00.000
13.48895,13.32904,2018-04-13 00:00:00.000
13.48895,13.32904,2018-04-15 00:00:00.000
12.374126,14.222062,2018-04-19 00:00:00.000
12.36166,14.35716,2018-04-22 00:00:00.000
11.8072,12.4909,2018-04-22 00:00:00.000
11.23569,12.38397,2018-04-22 00:00:00.000
13.375603,13.507019,2018-04-27 00:00:00.000
12.571088,13.963203,2018-05-07 00:00:00.000
13.36901,12.78577,2018-05-15 00:00:00.000
12.989201,13.832239,2018-05-15 00:00:00.000
11.90069,14.02693,2018-05-15 00:00:00.000
11.52059,14.09661,2018-05-15 00:00:00.000
12.91849,13.21395,2018-06-01 00:00:00.000
12.21532,14.18319,2018-06-02 00:00:00.000
13.36901,12.78577,2018-06-07 00:00:00.000
12.989201,13.832239,2018-06-11 00:00:00.000
12.49303,13.20914,2018-06-18 00:00:00.000
12.57852,13.61727,2018-06-28 00:00:00.000
12.66013,13.36967,2018-06-29 00:00:00.000
13.48895,13.32904,2018-07-09 00:00:00.000
12.57852,13.61727,2018-07-14 00:00:00.000
12.61431,12.46655,2018-07-14 00:00:00.000
12.048634,12.096891,2018-07-21 00:00:00.000
12.573114,13.246629,2018-07-21 00:00:00.000
11.09826,12.76417,2018-07-24 00:00:00.000
11.84276,12.77548,2018-07-26 00:00:00.000
12.67863,13.60792,2018-07-27 00:00:00.000
12.57852,13.61727,2018-07-27 00:00:00.000
12.91849,13.21395,2018-08-06 00:00:00.000
13.002316,12.992235,2018-08-08 00:00:00.000
12.989201,13.832239,2018-08-12 00:00:00.000
12.96309,13.60899,2018-08-26 00:00:00.000
13.48895,13.32904,2018-08-27 00:00:00.000
12.337716,14.180516,2018-08-28 00:00:00.000
13.087504,12.738476,2018-08-30 00:00:00.000
12.989201,13.832239,2018-09-04 00:00:00.000
13.4814,13.483791,2018-09-04 00:00:00.000
12.85842,13.36178,2018-09-06 00:00:00.000
12.94284,13.17831,2018-09-07 00:00:00.000
12.989201,13.832239,2018-09-09 00:00:00.000
12.49303,13.20914,2018-09-12 00:00:00.000
13.4814,13.483791,2018-09-12 00:00:00.000
13.09771,12.4952,2018-09-12 00:00:00.000
13.6169,13.26438,2018-09-25 00:00:00.000
13.6169,13.26438,2018-09-26 00:00:00.000
13.36901,12.78577,2018-09-26 00:00:00.000
13.5145,13.0801,2018-09-28 00:00:00.000
12.75587,13.4349,2018-10-07 00:00:00.000
13.357646,13.426181,2018-10-08 00:00:00.000
13.43162,13.31319,2018-10-11 00:00:00.000
13.48895,13.32904,2018-10-12 00:00:00.000
13.238244,12.942969,2018-10-14 00:00:00.000
13.43162,13.31319,2018-10-23 00:00:00.000
12.19763,14.0223,2018-10-24 00:00:00.000
13.36901,12.78577,2018-10-27 00:00:00.000
13.36901,12.78577,2018-10-28 00:00:00.000
11.098167,12.042968,2018-11-01 00:00:00.000
12.92475,13.56617,2018-11-05 00:00:00.000
13.6734,13.3388,2018-11-06 00:00:00.000
12.26189,14.07576,2018-11-08 00:00:00.000
11.22824,12.31561,2018-11-09 00:00:00.000
12.8847,12.5081,2018-11-14 00:00:00.000
12.989201,13.832239,2018-11-15 00:00:00.000
12.76429,13.70754,2018-11-16 00:00:00.000
11.5,13.0,2018-11-17 00:00:00.000
11.83022,12.63067,2018-11-17 00:00:00.000
13.357646,13.426181,2018-11-18 00:00:00.000
13.4814,13.483791,2018-11-18 00:00:00.000
13.2842,13.486,2018-11-18 00:00:00.000
11.83022,12.63067,2018-11-18 00:00:00.000
13.357646,13.426181,2018-11-19 00:00:00.000
12.94515,13.67232,2018-11-27 00:00:00.000
13.48895,13.32904,2018-11-28 00:00:00.000
12.374126,14.222062,2018-11-29 00:00:00.000
13.48895,13.32904,2018-11-30 00:00:00.000
13.09466,13.82343,2018-11-30 00:00:00.000
11.20148,12.03125,2018-12-01 00:00:00.000
13.6734,13.3388,2018-12-03 00:00:00.000
12.28295,14.47243,2018-12-06 00:00:00.000
11.84276,12.77548,2018-12-07 00:00:00.000
12.337716,14.180516,2018-12-14 00:00:00.000
12.94284,13.17831,2018-12-14 00:00:00.000
12.92475,13.56617,2018-12-14 00:00:00.000
12.337716,14.180516,2018-12-15 00:00:00.000
12.75587,13.4349,2018-12-17 00:00:00.000
11.051161,12.649864,2018-12-21 00:00:00.000
12.03609,13.91815,2018-12-22 00:00:00.000
11.747,11.9608,2018-12-24 00:00:00.000
11.726784,12.099167,2018-12-24 00:00:00.000
13.09466,13.82343,2018-12-26 00:00:00.000
11.20148,12.03125,2018-12-29 00:00:00.000
13.09466,13.82343,2018-12-29 00:00:00.000
13.09466,13.82343,2019-01-01 00:00:00.000
10.810416,12.45449,2019-01-01 00:00:00.000
13.09771,12.4952,2019-01-02 00:00:00.000
12.75587,13.4349,2019-01-04 00:00:00.000
11.48451,12.31264,2019-01-05 00:00:00.000
13.09771,12.4952,2019-01-05 00:00:00.000
12.49303,13.20914,2019-01-15 00:00:00.000
11.0319,12.0597,2019-01-17 00:00:00.000
13.09466,13.82343,2019-01-19 00:00:00.000
12.337716,14.180516,2019-01-19 00:00:00.000
11.26889,11.99694,2019-01-20 00:00:00.000
12.02567,13.96702,2019-01-23 00:00:00.000
