lgs_names,status,latitude,longitude
Madagali,Open,10.710172,13.564891
Maiha,Open,9.926477,13.234743
Mayo-Belwa,Open,8.95034,12.062621
Mubi North,Open,10.370312,13.230141
Mubi North,Open,10.292263,13.263869
Demsa,Open,9.456578,12.173256
Demsa,Open,9.268584,11.692741
Gombi,Open,10.139243,12.191085
Ganye,Open,8.638796,12.190018
Mayo-Belwa,Open,9.053526,12.056885
Mayo-Belwa,Open,8.81778,12.005539
Fufore,Open,9.51712,13.033778
Guyuk,Open,9.940757,11.941432
Mayo-Belwa,Open,9.043602,12.028948
Girei,Open,9.392841,12.382319
Yola North,Open,9.243551,12.423458
Fufore,Open,9.45768,12.817708
Guyuk,Open,9.702701,11.883692
Fufore,Open,9.538271,12.749615
Shelleng,Open,10.000235,12.058123
Yola South,Open,9.338599,12.387626
Hong,Open,10.154284,13.007009
Guyuk,Open,9.703661,11.950146
Mubi North,Open,10.501156,13.313302
Ganye,Open,8.251309,12.072586
Mubi North,Open,10.405064,13.237982
Song,Open,9.83035,12.495226
Ganye,Open,8.291765,12.00803
Toungo,Open,8.053505,12.081488
Guyuk,Open,9.790705,11.96626
Song,Open,9.722388,12.24741
Guyuk,Open,9.708165,11.930265
Demsa,Open,9.187571,11.871752
Guyuk,Open,9.686926,11.895227
Toungo,Open,8.008196,11.993129
Mubi South,Open,10.14547,13.410034
Hong,Open,10.252181,13.028194
Song,Open,9.766378,12.709375
Yola South,Open,9.127163,12.5144
Gombi,Open,10.09366,12.652723
Numan,Open,9.368256,11.66928
Shelleng,Open,9.975061,12.073437
Madagali,Open,10.794867,13.457249
Gombi,Open,10.113293,12.31727
Fufore,Open,9.039424,12.448919
Mubi North,Open,10.347406,13.325017
Hong,Open,10.322764,13.038323
Maiha,Open,10.06566,13.273627
Yola North,Open,9.261742,12.444409
Maiha,Open,9.971086,13.118837
Guyuk,Open,9.823257,11.920295
Ganye,Open,8.307353,12.076559
Mayo-Belwa,Open,9.120254,12.138079
Gombi,Open,10.160006,12.543826
Toungo,Open,8.23508,12.124293
Song,Open,9.63117,12.470903
Michika,Open,10.58665,13.51777
Shelleng,Open,9.859786,12.079707
Madagali,Open,10.940333,13.594083
Ganye,Open,8.378808,11.860895
Ganye,Open,8.440573,12.072014
Lamurde,Open,9.480619,11.517478
Mayo-Belwa,Open,9.177184,11.727678
Demsa,Open,9.485795,12.125884
Mayo-Belwa,Open,9.112153,11.769621
Yola South,Open,9.210324,12.489521
Mubi South,Open,10.091168,13.301906
Lamurde,Open,9.4541,11.616547
Maiha,Open,10.095961,13.119189
Girei,Open,9.347255,12.513564
Mayo-Belwa,Open,8.91006,12.112459
Gombi,Open,10.132543,12.397167
Ganye,Open,8.327621,12.055251
Lamurde,Open,9.528427,11.589246
Shelleng,Open,9.698191,12.137157
Ganye,Open,8.492233,12.19078
Numan,Open,9.461296,12.021471
Madagali,Open,10.897836,13.64512
Song,Open,9.975298,12.638457
Ganye,Open,8.628484,12.158647
Ganye,Open,8.451339,12.035639
Gombi,Open,10.213282,12.345309
Girei,Open,9.419514,12.373234
Girei,Open,9.571465,12.254992
Gombi,Open,10.091295,12.215464
Guyuk,Open,9.770845,11.970824
Fufore,Open,9.495397,12.797757
Mayo-Belwa,Open,9.222374,11.945895
Ganye,Open,8.431264,11.918723
Yola North,Open,9.266257,12.441417
Hong,Open,10.391599,12.976257
Madagali,Open,10.734552,13.4895
Hong,Open,10.396223,13.171151
Girei,Open,9.413406,12.497735
Fufore,Open,9.408557,12.787509
Fufore,Open,9.110432,12.887526
Yola South,Open,9.290811,12.133094
Mayo-Belwa,Open,9.043751,11.935394
Mayo-Belwa,Open,9.020864,11.897092
Maiha,Open,10.046652,13.077637
Guyuk,Open,10.022173,11.886421
Demsa,Open,9.513551,12.247356
Gombi,Open,10.183232,12.330383
Mubi South,Open,10.187733,13.260648
Fufore,Open,8.852171,12.400613
Toungo,Open,8.147558,11.951373
Mubi North,Open,10.419747,13.455417
Demsa,Open,9.544566,12.175631
Jada,Open,8.693488,12.122519
Fufore,Open,9.0311,12.158203
Fufore,Open,9.215087,12.880807
Mayo-Belwa,Open,8.843346,11.926865
Mayo-Belwa,Open,8.895173,12.081063
Madagali,Open,10.76569,13.53576
Fufore,Open,9.092157,12.213998
Numan,Open,9.464022,12.037747
Hong,Open,10.385504,13.041143
Fufore,Open,8.891774,12.392676
Mayo-Belwa,Open,9.18063,12.050665
Fufore,Open,9.219197,12.668723
Song,Open,9.795606,12.489939
Fufore,Open,8.970127,12.400064
Demsa,Open,9.455546,12.146171
Shelleng,Open,9.686463,11.998734
