Date of Survey,How was the location Accessed,Location Accessibility,Location_type,Population Category,New Location,State,State code,LGA,LGA code,Ward,Site Type,Site Classification,Site Name,Site ID (SSID),Site Status (if Camp),Latitude,Longitude,new_locations/Site_Class,Reasons of Displacement,Reason for Returning,Households,Individuals,# IDPS/RETURNEES/INTEGRATED/RESETTLED-HHs Arrival- in 2025,# IDPS/RETURNEES/INTEGRATED/RESETTLED-INDs Arrival- in 2025,# IDPS/RETURNEES/INTEGRATED/RESETTLED-HHs Arrival- in 2024_hh,# IDPS/RETURNEES/INTEGRATED/RESETTLED-HHs Arrival- in 2024_ind,# IDPS/RETURNEES/INTEGRATED/RESETTLED-HHs Arrival- in 2023_hh,# IDPS/RETURNEES/INTEGRATED/RESETTLED-HHs Arrival- in 2023_ind,# IDPS/RETURNEES/INTEGRATED/RESETTLED-HHs Arrival- in 2022_hh,# IDPS/RETURNEES/INTEGRATED/RESETTLED-HHs Arrival- in 2022_ind,# IDPS/RETURNEES/INTEGRATED/RESETTLED-HHs Arrival- in 2014_2021_hh,idps_Returnees_integrate_resettled_2014_2021_ind,Total_Arrival Year - Households,Total_Arrival Year -Individuals,Male Infants (<1 y),Female Infants (<1 y),Male Children (1-5 y),Female Children (1-5 y),Male Children (6-12 y),Female Children (6-12 y),Male Youth (13-17 y),Female Youth (13-17 y),Male Adults (18-59 y),Female Adults (18-59 y),Male Elderly (60 +y ),Female Elderly (60 +y ),Returnee Status,initially displaced Country,Initially displaced State,Initially displaced LGA,Initially displaced WARD,Majority Year of Returns (2025) - HH,Majority Year of Returns (2025) - IND,Majority Year of Returns (2024) - HH,Majority Year of Returns (2024) - IND,Majority Year of Returns (2023) - HH,Majority Year of Returns (2023) - IND,Majority Year of Returns (2022) - HH,Majority Year of Returns (2022) - IND,Majority Year of Returns (2014-2021) - HH,Majority Year of Returns (2014-2021) - IND
2025-03-25,face to face,full,IDPs,IDPs dispersed in Host Communities,no,Adamawa,NGA002,Demsa,NGA002001,Nassarawo Demsa,IDPs dispersed in Host Communities,IDPs dispersed in Host Communities,Nasarawo Demsa,AD_H024,,9.45024,12.04767,Urban,Communal Clashes,,65,390,3,18,12,72,2,12,3,18,45,270,65,390,9,10,18,19,48,50,69,70,32,32,16,17,IDPs,,,,,,,,,,,,,,
2025-03-21,face to face,full,Returnees,Returnees,no,Adamawa,NGA002,Demsa,NGA002001,Nassarawo Demsa,Returnees,Returnees,Nassarawo Demsa (Dowaya),AD_R008,,9.1746168,12.1954496,Urban,Communal Clashes,Improved security,143,858,6,36,11,66,3,18,13,78,110,660,143,858,22,24,28,30,104,108,150,150,104,104,17,17,IDP Returnee,Nigeria,Adamawa,Demsa,Nassarawo Demsa,6.0,36.0,11.0,66.0,3.0,18.0,13.0,78.0,110.0,660.0
2025-03-23,face to face,full,IDPs,IDPs dispersed in Host Communities,no,Adamawa,NGA002,Fufore,NGA002002,Beti,IDPs dispersed in Host Communities,IDPs dispersed in Host Communities,Ang. Tike,AD_H026,,9.06542,12.66419,Rural,Insurgency,,21,113,0,0,0,0,9,26,1,5,11,82,21,113,3,4,11,12,9,11,10,10,23,18,2,0,IDPs,,,,,,,,,,,,,,
2025-03-25,face to face,full,IDPs,IDPs dispersed in Host Communities,no,Adamawa,NGA002,Fufore,NGA002002,Beti,IDPs dispersed in Host Communities,IDPs dispersed in Host Communities,Panire,AD_H027,,9.07023,12.66263,Rural,Insurgency,,7,35,0,0,2,10,3,12,0,0,2,13,7,35,1,2,2,3,2,2,1,2,9,11,0,0,IDPs,,,,,,,,,,,,,,
2025-03-23,face to face,full,IDPs,IDPs dispersed in Host Communities,no,Adamawa,NGA002,Fufore,NGA002002,Beti,IDPs dispersed in Host Communities,IDPs dispersed in Host Communities,Mararraban Wuro Ardo,AD_H798,,9.15618,12.59884,Rural,Insurgency,,43,187,0,0,0,0,3,8,5,26,35,153,43,187,8,10,10,13,9,14,11,13,46,45,3,5,IDPs,,,,,,,,,,,,,,
2025-03-23,face to face,full,IDPs,IDPs dispersed in Host Communities,no,Adamawa,NGA002,Fufore,NGA002002,Farang,IDPs dispersed in Host Communities,IDPs dispersed in Host Communities,Gashiga,AD_H029,,9.57651,12.9007,Rural,Insurgency,,5,38,0,0,0,0,0,0,2,11,3,27,5,38,1,2,5,5,3,5,3,3,6,5,0,0,IDPs,,,,,,,,,,,,,,
2025-03-23,face to face,full,IDPs,IDPs dispersed in Host Communities,no,Adamawa,NGA002,Fufore,NGA002002,Farang,IDPs dispersed in Host Communities,IDPs dispersed in Host Communities,Dadin Kowa,AD_H030,,9.58291,12.91652,Rural,Insurgency,,6,32,0,0,0,0,0,0,0,0,6,32,6,32,1,0,1,3,2,4,3,1,9,8,0,0,IDPs,,,,,,,,,,,,,,
2025-03-22,face to face,full,IDPs,IDPs dispersed in Host Communities,no,Adamawa,NGA002,Fufore,NGA002002,Farang,IDPs dispersed in Host Communities,IDPs dispersed in Host Communities,Fattude Lawan,AD_H032,,9.57978,12.91659,Rural,Insurgency,,3,11,0,0,0,0,0,0,0,0,3,11,3,11,1,0,1,1,2,1,0,0,3,2,0,0,IDPs,,,,,,,,,,,,,,
2025-03-25,face to face,full,IDPs,IDPs dispersed in Host Communities,no,Adamawa,NGA002,Fufore,NGA002002,Farang,IDPs dispersed in Host Communities,IDPs dispersed in Host Communities,Yelwa,AD_H033,,9.5527,12.78224,Rural,Insurgency,,7,35,2,10,1,11,0,0,0,0,4,14,7,35,2,2,3,3,0,2,3,2,6,10,0,2,IDPs,,,,,,,,,,,,,,
2025-03-23,face to face,full,IDPs,IDPs dispersed in Host Communities,no,Adamawa,NGA002,Fufore,NGA002002,Fufore,IDPs dispersed in Host Communities,IDPs dispersed in Host Communities,Wuro Ahi,AD_H034,,9.21765,12.6543,Rural,Insurgency,,50,169,0,0,2,10,0,0,0,0,48,159,50,169,2,4,8,12,9,7,8,9,51,59,0,0,IDPs,,,,,,,,,,,,,,
